time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2021-07-16 09:30:00-04:00,MLTrader,0e7988f295344e21ad8dc74bb0e976f4,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2021-07-16 09:30:00-04:00,MLTrader,0e7988f295344e21ad8dc74bb0e976f4,SPY,sell,market,fill,1,gtc,0.0,1,stock,436.010009765625,115.0,0.0
2021-10-25 08:30:00-04:00,MLTrader,50d82af4d88b439c909ae6b75eaa5eab,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2021-10-25 08:30:00-04:00,MLTrader,d936d6e668744f67ba6f36547b95de9c,SPY,buy,stop,fill,1,day,0.0,1,stock,457.8105102539063,115.0,0.0
2022-01-21 09:30:00-05:00,MLTrader,40ebdfc891fa4781bf8af30db15be8c6,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2022-01-21 09:30:00-05:00,MLTrader,40ebdfc891fa4781bf8af30db15be8c6,SPY,sell,market,fill,1,gtc,0.0,1,stock,445.55999755859375,109.0,0.0
2022-03-04 09:30:00-05:00,MLTrader,3201cc93450c4a619630361740a1e43f,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2022-03-04 09:30:00-05:00,MLTrader,3201cc93450c4a619630361740a1e43f,SPY,sell,market,fill,1,gtc,0.0,1,stock,431.75,169.0,0.0
2022-03-18 09:30:00-04:00,MLTrader,5ca55c55a2624de8b47bd926bdf25b97,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2022-03-18 09:30:00-04:00,MLTrader,5ca55c55a2624de8b47bd926bdf25b97,SPY,sell,market,fill,1,gtc,0.0,1,stock,438.0,250.0,0.0
2022-03-24 09:30:00-04:00,MLTrader,776467aa65974221b2506caad7ecd3ca,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2022-03-24 09:30:00-04:00,MLTrader,776467aa65974221b2506caad7ecd3ca,SPY,sell,market,fill,1,gtc,0.0,1,stock,451.1600036621094,364.0,0.0
2022-03-28 08:30:00-04:00,MLTrader,73d83dbc6f0c4b1eb8781982375df6e5,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2022-03-28 08:30:00-04:00,MLTrader,96970a45e186416b8ae73f0165eb2c87,SPY,buy,stop,fill,1,day,0.0,1,stock,460.0199890136719,169.0,0.0
2022-03-28 08:30:00-04:00,MLTrader,f45b9a7433dd4fda843ac2373292185f,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2022-03-28 08:30:00-04:00,MLTrader,326fd5388f4a4a55bf6ab867663ed980,SPY,buy,stop,fill,1,day,0.0,1,stock,460.0199890136719,250.0,0.0
2022-04-22 09:30:00-04:00,MLTrader,d7bd6245f34d4b02afdcac74671599a5,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2022-04-22 09:30:00-04:00,MLTrader,d7bd6245f34d4b02afdcac74671599a5,SPY,sell,market,fill,1,gtc,0.0,1,stock,436.9100036621094,343.0,0.0
2022-04-27 09:30:00-04:00,MLTrader,68a32a5ff024438287e906dbd2fc02d6,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2022-04-27 09:30:00-04:00,MLTrader,68a32a5ff024438287e906dbd2fc02d6,SPY,sell,market,fill,1,gtc,0.0,1,stock,422.2900085449219,533.0,0.0
2022-04-28 09:30:00-04:00,MLTrader,b50e540e6ed848749019f0fbc3139dbb,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2022-04-28 09:30:00-04:00,MLTrader,b50e540e6ed848749019f0fbc3139dbb,SPY,sell,market,fill,1,gtc,0.0,1,stock,423.5899963378906,797.0,0.0
2022-06-10 09:30:00-04:00,MLTrader,2506371c873e45c7a95643a2dab1fee1,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2022-06-10 09:30:00-04:00,MLTrader,2506371c873e45c7a95643a2dab1fee1,SPY,sell,market,fill,1,gtc,0.0,1,stock,394.8800048828125,1282.0,0.0
2022-07-08 09:30:00-04:00,MLTrader,066eaf8031784bb785aba6efa14f6344,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2022-07-08 09:30:00-04:00,MLTrader,49d2995778da4da28aab879b717f7602,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2022-07-08 09:30:00-04:00,MLTrader,c0e67ebde3784aab9227c1b79cc086ad,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2022-07-08 09:30:00-04:00,MLTrader,7890c73194a141148bb7b456fe4f51ec,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2022-07-08 09:30:00-04:00,MLTrader,2926aba1102441cb8e2230457105a440,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2022-07-08 09:30:00-04:00,MLTrader,e0f21e43072c41f49ba1aa25023454e1,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2022-07-08 09:30:00-04:00,MLTrader,ec92d6ba5d5642538da31992dfab3a5d,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2022-07-08 09:30:00-04:00,MLTrader,eacbff41cc1a422d913776c2bc378742,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2022-07-08 09:30:00-04:00,MLTrader,1e1bba6a38b245458ebb3d46ce83f830,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2022-07-08 09:30:00-04:00,MLTrader,c2811f66058242aebb916618e8114720,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2022-07-08 09:30:00-04:00,MLTrader,c2c8769d5b92447980350b0b06d2c389,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2022-07-08 09:30:00-04:00,MLTrader,ac0c175852584d0a9fbd2111baee26fd,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2022-07-08 09:30:00-04:00,MLTrader,752aed3d0d424e38a7f708b1042b2f04,SPY,buy,market,new,1,day,0.0,1,stock,,,
2022-07-08 09:30:00-04:00,MLTrader,1f961f5b6227473789a4b43a2ccfe33a,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2022-07-08 09:30:00-04:00,MLTrader,752aed3d0d424e38a7f708b1042b2f04,SPY,buy,market,fill,1,day,0.0,1,stock,387.2699890136719,3428.0,0.0
2022-07-08 09:30:00-04:00,MLTrader,1f961f5b6227473789a4b43a2ccfe33a,SPY,buy,market,fill,1,gtc,0.0,1,stock,387.2699890136719,1961.0,0.0
2022-09-22 09:30:00-04:00,MLTrader,53f33b927120450fafad2a316c86aac5,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2022-09-22 09:30:00-04:00,MLTrader,af0b2833cfa4405489716a5e4bdeb3ce,SPY,sell,stop,fill,1,day,0.0,1,stock,367.90648956298827,1961.0,0.0
2022-09-27 09:30:00-04:00,MLTrader,1d41f712531a4a0e9a835d9e810177f2,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2022-09-27 09:30:00-04:00,MLTrader,1d41f712531a4a0e9a835d9e810177f2,SPY,sell,market,fill,1,gtc,0.0,1,stock,364.3800048828125,210.0,0.0
2022-09-28 09:30:00-04:00,MLTrader,69e805dc7b104adcbdd818912792dcf3,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2022-09-28 09:30:00-04:00,MLTrader,69e805dc7b104adcbdd818912792dcf3,SPY,sell,market,fill,1,gtc,0.0,1,stock,366.80999755859375,313.0,0.0
2022-10-24 08:30:00-04:00,MLTrader,6bcfb3fca9fa4713be8b242695b8da3d,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2022-10-24 08:30:00-04:00,MLTrader,b8a1be9eaca04263ae7cede377810afc,SPY,buy,stop,fill,1,day,0.0,1,stock,382.59900512695316,210.0,0.0
2022-10-24 08:30:00-04:00,MLTrader,b0b82a4ff4ec4bc59522766656392fa9,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2022-10-24 08:30:00-04:00,MLTrader,37d6af21a00d4beabb750251f324c2d8,SPY,buy,stop,fill,1,day,0.0,1,stock,385.15049743652344,313.0,0.0
2023-01-19 09:30:00-05:00,MLTrader,4796b74b9ae747e7b74bb0e31cca0b8a,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-01-19 09:30:00-05:00,MLTrader,4796b74b9ae747e7b74bb0e31cca0b8a,SPY,sell,market,fill,1,gtc,0.0,1,stock,389.3599853515625,185.0,0.0
2023-02-01 09:30:00-05:00,MLTrader,cf42b1b0ad9b4edd9a73c6da26c0474e,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2023-02-01 09:30:00-05:00,MLTrader,886d468e192a43d1aad68bdc1904502c,SPY,buy,stop,fill,1,day,0.0,1,stock,408.82798461914064,185.0,0.0
2023-04-10 09:30:00-04:00,MLTrader,eb441e8d5736481384b74f00ba731dfd,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-04-10 09:30:00-04:00,MLTrader,eb441e8d5736481384b74f00ba731dfd,SPY,sell,market,fill,1,gtc,0.0,1,stock,410.260009765625,171.0,0.0
2023-06-06 09:30:00-04:00,MLTrader,9e1e2b294dea44e484551a3c5a8d2853,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2023-06-06 09:30:00-04:00,MLTrader,383e892f621a445a9298c202dd12afa5,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2023-06-06 09:30:00-04:00,MLTrader,8be89037c1714f7c945cc70534a2eeb1,SPY,buy,market,new,1,day,0.0,1,stock,,,
2023-06-06 09:30:00-04:00,MLTrader,b9b7104b27d8484e8c777ef6e2192594,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2023-06-06 09:30:00-04:00,MLTrader,8be89037c1714f7c945cc70534a2eeb1,SPY,buy,market,fill,1,day,0.0,1,stock,428.44000244140625,171.0,0.0
2023-06-06 09:30:00-04:00,MLTrader,b9b7104b27d8484e8c777ef6e2192594,SPY,buy,market,fill,1,gtc,0.0,1,stock,428.44000244140625,245.0,0.0
2023-06-12 09:30:00-04:00,MLTrader,70f4ee35378a4dc78984bcd7993f4595,SPY,sell,stop,canceled,1,day,0.0,1,stock,,,
2023-06-12 09:30:00-04:00,MLTrader,f121c4f4da3f443c839fd965f04dfe31,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2023-06-12 09:30:00-04:00,MLTrader,190cbc42e525471d805e80c5ee38dc36,SPY,sell,market,new,1,day,0.0,1,stock,,,
2023-06-12 09:30:00-04:00,MLTrader,fa6a4907e66442589ba54f15d0773725,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-06-12 09:30:00-04:00,MLTrader,190cbc42e525471d805e80c5ee38dc36,SPY,sell,market,fill,1,day,0.0,1,stock,435.32000732421875,245.0,0.0
2023-06-12 09:30:00-04:00,MLTrader,fa6a4907e66442589ba54f15d0773725,SPY,sell,market,fill,1,gtc,0.0,1,stock,435.32000732421875,37.0,0.0
2023-06-29 09:30:00-04:00,MLTrader,94c7b6e5515547d8bcc261e8c595d5a2,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-06-29 09:30:00-04:00,MLTrader,94c7b6e5515547d8bcc261e8c595d5a2,SPY,sell,market,fill,1,gtc,0.0,1,stock,441.44000244140625,175.0,0.0
2023-07-26 09:30:00-04:00,MLTrader,87509e6c858545f59514b8ee635063d6,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2023-07-26 09:30:00-04:00,MLTrader,ee4a26b21d79438f8c4fae6fa4053a20,SPY,buy,stop,fill,1,day,0.0,1,stock,459.0199890136719,37.0,0.0
2023-08-01 09:30:00-04:00,MLTrader,23d9384088204fff82c46278de0bf017,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-08-01 09:30:00-04:00,MLTrader,23d9384088204fff82c46278de0bf017,SPY,sell,market,fill,1,gtc,0.0,1,stock,453.25,237.0,0.0
2023-08-11 09:30:00-04:00,MLTrader,10db4d5693a24e869ee4e0916fef898e,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-08-11 09:30:00-04:00,MLTrader,10db4d5693a24e869ee4e0916fef898e,SPY,sell,market,fill,1,gtc,0.0,1,stock,443.9700012207031,363.0,0.0
2023-08-21 09:30:00-04:00,MLTrader,c5144c7f55f14687ac34fa887f69852c,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-08-21 09:30:00-04:00,MLTrader,c5144c7f55f14687ac34fa887f69852c,SPY,sell,market,fill,1,gtc,0.0,1,stock,441.17999267578125,548.0,0.0
2023-09-08 09:30:00-04:00,MLTrader,d466f7dd2f954ae1b2e73f86c3a84887,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-09-08 09:30:00-04:00,MLTrader,d466f7dd2f954ae1b2e73f86c3a84887,SPY,sell,market,fill,1,gtc,0.0,1,stock,444.8999938964844,815.0,0.0
2023-11-02 09:30:00-04:00,MLTrader,8b061bcb2e70496ea0a6b3a7ea6e4894,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-11-02 09:30:00-04:00,MLTrader,8b061bcb2e70496ea0a6b3a7ea6e4894,SPY,sell,market,fill,1,gtc,0.0,1,stock,433.1400146484375,1256.0,0.0
2023-11-13 09:30:00-05:00,MLTrader,e98d04a03eda4ab48dcf5a3901766230,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-11-13 09:30:00-05:00,MLTrader,e98d04a03eda4ab48dcf5a3901766230,SPY,sell,market,fill,1,gtc,0.0,1,stock,439.2300109863281,1858.0,0.0
2023-11-16 09:30:00-05:00,MLTrader,d37ba2875bdd4952b8719bcacdb0276a,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2023-11-16 09:30:00-05:00,MLTrader,5a26dc8a28884fa582beed5fc0e2a3bb,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2023-11-16 09:30:00-05:00,MLTrader,4af63ed3786a40388b490be5cc2c16ac,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2023-11-16 09:30:00-05:00,MLTrader,483830fb22bc4532a4754972fb6b3c02,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2023-11-16 09:30:00-05:00,MLTrader,699e6240d0a64c81bd80793342571ddc,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2023-11-16 09:30:00-05:00,MLTrader,e07704f16dfc4429b025ad2e947ca646,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2023-11-16 09:30:00-05:00,MLTrader,fb1a46460f7c4c21bb3d1d6e4729b7e8,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2023-11-16 09:30:00-05:00,MLTrader,dd729b4b8ad54fb38ce27572491afa34,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2023-11-16 09:30:00-05:00,MLTrader,0aab1432ad354ed2a0289210ab78624b,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2023-11-16 09:30:00-05:00,MLTrader,5f0f41d487c94c53b64030ed2208a38b,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2023-11-16 09:30:00-05:00,MLTrader,c25c452134f146228bcf40aa5771c290,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2023-11-16 09:30:00-05:00,MLTrader,72d0da9cf9dc4ddc91b2098fb184495a,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2023-11-16 09:30:00-05:00,MLTrader,b3bd0a624de34a7b8a47ecf33ad83d46,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2023-11-16 09:30:00-05:00,MLTrader,84f2d74374c5432683fd12e4f9a4f25d,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2023-11-16 09:30:00-05:00,MLTrader,903ddeeca1a04fa6b5185cb844c93ae7,SPY,buy,market,new,1,day,0.0,1,stock,,,
2023-11-16 09:30:00-05:00,MLTrader,b1272986494d4d65941c13ad5914820c,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2023-11-16 09:30:00-05:00,MLTrader,903ddeeca1a04fa6b5185cb844c93ae7,SPY,buy,market,fill,1,day,0.0,1,stock,449.2200012207031,5252.0,0.0
2023-11-16 09:30:00-05:00,MLTrader,b1272986494d4d65941c13ad5914820c,SPY,buy,market,fill,1,gtc,0.0,1,stock,449.2200012207031,2725.0,0.0
